영화 코드,영화명,개봉일,영화장르,대표 제작국가,영화 감독 이름,제작사 코드
20173226,패왕별희 디 오리지널,20170330,"드라마,멜로/로맨스",중국,첸 카이거,
20161923,시간위의 집,20170405,"미스터리,스릴러",한국,임대웅,"20160721,20110931,20138575,20173921"
20167901,어느날,20170405,멜로/로맨스,한국,이윤기,20122471
20171381,라이프,20170405,"SF,스릴러",미국,다니엘 에스피노사,
20162607,슈퍼 버드,20170406,애니메이션,멕시코,"리카르도 아나이즈,마이크 컨켈,라울 가르시아",
20171781,패트리어트 데이,20170406,"드라마,스릴러",미국,피터 버그,
20151227,아빠는 딸,20170412,코미디,한국,김형협,20142433
20167542,분노의 질주: 더 익스트림,20170412,"액션,범죄,스릴러",미국,F. 게리 그레이,
20172125,파운더,20170420,드라마,미국,존 리 행콕,
20179662,파워레인져스: 더 비기닝,20170420,"액션,어드벤처,판타지,SF",미국,딘 이스라엘리트,
20172541,오두막,20170420,드라마,미국,스튜어트 하젤딘,
20161726,임금님의 사건수첩,20170426,"코미디,어드벤처,액션",한국,문현성,"20157468,20110854,20063209"
20173301,"서서평, 천천히 평온하게",20170426,다큐멘터리,한국,"홍주연,홍현정",20173001
20162871,특별시민,20170426,드라마,한국,박인제,20063202
20174165,극장판 또봇: 로봇군단의 습격,20170427,애니메이션,한국,"이달,고동우",20156291
20175142,극장판 쿠로코의 농구 라스트 게임,20170427,애니메이션,일본,타다 슌스케,
20161665,스머프: 비밀의 숲,20170428,"애니메이션,가족",미국,캘리 애스버리,
20163603,가디언즈 오브 갤럭시 VOL. 2,20170503,"액션,SF",미국,제임스 건,
20174061,보스 베이비,20170503,"애니메이션,코미디,가족",미국,톰 맥그라스,
20162722,보안관,20170503,"범죄,코미디",한국,김형주,"20126515,20122737"
20173061,슈퍼 빼꼼: 스파이 대작전,20170503,"애니메이션,코미디",한국,임아론,20100235
20170321,목소리의 형태,20170509,"애니메이션,멜로/로맨스",일본,야마다 나오코,
20179382,에이리언: 커버넌트,20170509,"SF,스릴러",미국,리들리 스콧,
20156708,석조저택 살인사건,20170509,스릴러,한국,"정식,김휘",20168769
20175262,겟 아웃,20170517,"공포(호러),미스터리,스릴러,드라마",미국,조던 필,
20173961,킹 아서: 제왕의 검,20170517,"판타지,액션,어드벤처",영국,가이 리치,
20164844,불한당: 나쁜 놈들의 세상,20170517,"범죄,액션,드라마",한국,변성현,"20110854,20101558"
20170982,캐리비안의 해적: 죽은 자는 말이 없다,20170524,"액션,어드벤처,판타지,코미디",미국,"요아킴 뢰닝,에스펜 샌버그",
20174602,노무현입니다,20170525,다큐멘터리,한국,이창재,20173882
20173642,너와 100번째 사랑,20170525,"드라마,멜로/로맨스",일본,츠키카와 쇼,
20174803,7번째 내가 죽던 날,20170531,"드라마,미스터리",미국,라이 루소 영,
20169348,대립군,20170531,"드라마,사극",한국,정윤철,"20100540,20124236,20123598,20154810"
20168261,원더 우먼,20170531,"액션,어드벤처,판타지,SF",미국,팻티 젠킨스,
20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,20170601,애니메이션,일본,야마구치 켄타로,
20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,20170601,"애니메이션,어드벤처",영국,다라 오코넬,
20166488,미이라,20170606,"액션,어드벤처,판타지",미국,알렉스 커츠먼,
20162343,악녀,20170608,액션,한국,정병길,20174223
20176741,꼬마참새 리차드: 아프리카 원정대,20170615,애니메이션,독일,"토비 젠켈,레자 메마리",
20175423,나의 붉은고래,20170615,"애니메이션,판타지",중국,"양선,장춘",
20172241,꼬마돼지 베이브의 대모험,20170615,"애니메이션,어드벤처",독일,테레사 스트로젝,
20166384,하루,20170615,스릴러,한국,조선호,20123375
20166967,트랜스포머: 최후의 기사,20170621,"액션,어드벤처,SF",미국,마이클 베이,
20176201,더 서클,20170622,"드라마,SF,스릴러",미국,제임스 폰솔트,
20175982,다크 하우스,20170622,"공포(호러),스릴러",미국,대런 린 보우즈만,
20175821,언더더씨,20170622,애니메이션,미국,에반 트라멜,
20178982,박열,20170628,드라마,한국,이준익,20174921
20159647,리얼,20170628,액션,한국,이사랑,20174961
20176961,지랄발광 17세,20170628,"코미디,드라마",미국,켈리 프레몬,
20158485,옥자,20170629,"어드벤처,액션,드라마",미국,봉준호,"20104492,20156868"
20167303,스파이더맨: 홈 커밍,20170705,"액션,어드벤처,SF",미국,존 왓츠,
20177501,플립,20170712,"드라마,멜로/로맨스",미국,롭 라이너,
20174801,내 사랑,20170712,"드라마,멜로/로맨스",아일랜드,에이슬링 월쉬,
20175522,카3: 새로운 도전,20170713,"애니메이션,어드벤처,코미디,가족",미국,브라이언 피,
20176562,예수는 역사다,20170713,드라마,미국,존 건,
20177181,47 미터,20170719,"스릴러,공포(호러)",영국,요하네스 로버츠,
20164621,덩케르크,20170720,"액션,드라마,스릴러,전쟁",미국,크리스토퍼 놀란,
20177761,오즈: 신기한 마법가루,20170720,"애니메이션,어드벤처,가족",러시아,블라디미르 토로프킨,
20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,20170720,애니메이션,일본,하시모토 마사카즈,
20173403,슈퍼배드 3,20170726,애니메이션,미국,"피에르 꼬팽,카일 발다",
20161481,군함도,20170726,"액션,드라마",한국,류승완,"20100374,20186561"
20170124,명탐정 코난:진홍의 연가,20170802,애니메이션,일본,시즈노 코분,
20179186,이모티: 더 무비,20170802,"애니메이션,어드벤처",미국,토니 레온디스,
20162869,택시운전사,20170802,드라마,한국,장훈,20124216
20178762,파리로 가는 길,20170803,"드라마,멜로/로맨스",미국,엘레노어 코폴라,
20178641,빅풋 주니어,20170809,"애니메이션,어드벤처,가족",벨기에,"제레미 드그루손,벤 스타센",
20162442,청년경찰,20170809,액션,한국,김주환,"20139999,20140755,20141868"
20161081,애나벨 : 인형의 주인,20170810,공포(호러),미국,데이비드 F. 샌드버그,
20179085,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,20170810,"애니메이션,SF,가족,어드벤처",일본,다카하시 아츠시,
20179901,혹성탈출: 종의 전쟁,20170815,"액션,어드벤처,드라마,SF",미국,맷 리브스,
20151003,장산범,20170817,"미스터리,스릴러",한국,허정,20063193
20179187,공범자들,20170817,다큐멘터리,한국,최승호,20160682
20164174,브이아이피,20170823,"범죄,드라마",한국,박훈정,"20161022,20101149"
20170022,다크타워: 희망의 탑,20170823,"액션,어드벤처,판타지",미국,니콜라이 아르셀,
20170011,목격자,20170828,"공포(호러),미스터리",러시아,스브야토슬라브 포드가에브스키,
20171962,킬러의 보디가드,20170830,"액션,코미디",미국,패트릭 휴즈,
20158047,발레리안: 천 개 행성의 도시,20170830,"액션,어드벤처,SF",프랑스,뤽 베송,
20166132,김광석,20170830,다큐멘터리,한국,이상호,20142435
20179407,로마의 휴일,20170830,"코미디,드라마",한국,이덕희,20100938
20179491,아토믹 블론드,20170830,액션,미국,데이빗 레이치,
20179696,그것,20170906,"공포(호러),드라마",미국,안드레스 무시에티,
20154909,살인자의 기억법,20170906,"범죄,스릴러",한국,원신연,"20100103,20141409,20123235,20130188"
20171022,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,20170907,애니메이션,일본,닛타 노리오,
20171923,저수지 게임,20170907,다큐멘터리,한국,최진성,20173981
20171090,베이비 드라이버,20170914,"액션,범죄,스릴러",영국,에드가 라이트,
20177541,아메리칸 메이드,20170914,"범죄,액션",미국,더그 라이만,
20170607,몬스터 콜,20170914,"판타지,드라마",스페인,후안 안토니오 바요나,
20174142,아이 캔 스피크,20170921,코미디,한국,김현석,"20156490,20100545"
20173945,인비저블 게스트,20170921,"범죄,미스터리,스릴러",스페인,오리올 파울로,
20168241,잃어버린 도시 Z,20170921,"액션,어드벤처,드라마",미국,제임스 그레이,
20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,20170927,애니메이션,일본,"우시로 신지,요코이 타케시",
20175222,킹스맨: 골든 서클,20170927,"액션,어드벤처,코미디",미국,매튜 본,
20172627,리틀 프린세스 소피아 : 신비한 섬,20170928,"애니메이션,어드벤처,가족,판타지,뮤지컬",미국,제이미 미첼,
20170364,레고 닌자고 무비,20170928,"애니메이션,액션,코미디,어드벤처,가족",미국,찰리 빈,
20171817,넛잡 2,20171003,"애니메이션,어드벤처,코미디,가족",한국,캘런 브런커,"20111482,20122995"
20165450,남한산성,20171003,"사극,드라마",한국,황동혁,20175685
20172742,범죄도시,20171003,"범죄,액션",한국,강윤성,"20063279,20138935"
20170964,딥,20171003,"애니메이션,뮤지컬,어드벤처",스페인,줄리오 소토 거피드,
20168282,블레이드 러너 2049,20171012,"SF,액션",미국,드니 빌뇌브,
20154907,희생부활자,20171012,"미스터리,스릴러",한국,곽경택,"20155348,20100558"
20176767,"나는 내일, 어제의 너와 만난다",20171012,"멜로/로맨스,판타지,SF",일본,미키 타카히로,
20164424,대장 김창수,20171019,드라마,한국,이원태,"20138935,20142929"
20173694,지오스톰,20171019,"액션,SF,스릴러",미국,"딘 데블린,대니 캐넌",
20173806,노 게임 노 라이프 -제로-,20171019,애니메이션,일본,이시즈카 아츠코,
20175121,토르: 라그나로크,20171025,"액션,어드벤처,판타지,SF",미국,타이카 와이티티,
20171024,너의 췌장을 먹고 싶어,20171025,드라마,일본,츠키카와 쇼,
20175208,뷰티풀 투모로우,20171026,드라마,한국,장재혁,20175362
20173724,직쏘,20171102,"공포(호러),스릴러,범죄",미국,"피터 스피어이그,마이클 스피어리그",
20169643,침묵,20171102,드라마,한국,정지우,20137896
20172603,부라더,20171102,코미디,한국,장유정,"20063279,20100340"
20174622,해피 데스데이,20171108,"공포(호러),미스터리,스릴러",미국,크리스토퍼 랜던,
20161681,미옥,20171109,"범죄,액션",한국,이안규,20186701
20179942,러빙 빈센트,20171109,"애니메이션,미스터리",영국,"도로타 코비엘라,휴 웰치맨",
20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,20171109,액션,일본,타케모토 노보루,
20175441,채비,20171109,드라마,한국,조영준,"20154448,20229111"
20168221,저스티스 리그,20171115,"액션,어드벤처,판타지,SF",미국,잭 스나이더,
20168754,7호실,20171115,코미디,한국,이용승,20100545
20165748,꾼,20171122,범죄,한국,장창원,20158292
20175223,래빗 스쿨,20171123,"애니메이션,가족",독일,우테 폰 뮌쇼폴,
20173581,기억의 밤,20171129,"미스터리,스릴러",한국,장항준,20138935
20178581,오리엔트 특급 살인,20171129,"드라마,미스터리,범죄",미국,케네스 브래너,
20161762,반드시 잡는다,20171129,스릴러,한국,김홍선,"20062097,20142551"
20173693,어쌔신: 더 비기닝,20171207,액션,미국,마이클 쿠에스타,
20174846,뽀로로 극장판 공룡섬 대모험,20171207,애니메이션,한국,"김현호,윤제완",20020113
20174585,메리와 마녀의 꽃,20171207,"애니메이션,어드벤처",일본,요네바야시 히로마사,
20170402,강철비,20171214,"액션,드라마",한국,양우석,"20158288,20158011"
20177784,침입자,20171214,"범죄,스릴러",한국,이숭환,20063099
20176367,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,20171214,애니메이션,일본,고로 사쿠라,
20170443,스타워즈: 라스트 제다이,20171214,"액션,어드벤처,판타지,SF",미국,라이언 존슨,
20150976,신과함께-죄와 벌,20171220,"판타지,드라마",한국,김용화,"20100540,20160941"
20179462,위대한 쇼맨,20171220,"드라마,뮤지컬",미국,마이클 그레이시,
20176022,더 크리스마스,20171221,"애니메이션,어드벤처",미국,티모시 렉카트,
20176082,몬스터 패밀리,20171221,애니메이션,독일,호거 태프,
20174965,극장판 포켓몬스터 너로 정했다!,20171221,"애니메이션,어드벤처,가족",일본,유야마 쿠니히코,
20170590,1987,20171227,드라마,한국,장준환,20160263
20176947,원더,20171227,드라마,미국,스티븐 크보스키,
20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,20171228,애니메이션,일본,모리와키 마코토,
20171909,쥬만지: 새로운 세계,20180103,"액션,어드벤처",미국,제이크 캐스단,
20177104,페르디난드,20180103,"애니메이션,어드벤처,코미디",미국,카를로스 살다나,
20179985,코코,20180111,애니메이션,미국,리 언크리치,
20177602,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",20180111,"애니메이션,멜로/로맨스",일본,신보 아키유키,
20173547,다운사이징,20180111,"드라마,코미디",미국,알렉산더 페인,
20175054,메이즈 러너: 데스 큐어,20180117,"액션,SF,스릴러",미국,웨스 볼,
20176104,그것만이 내 세상,20180117,"코미디,드라마",한국,최성현,"20100278,20110854"
20178230,커뮤터,20180124,액션,영국,자움 콜렛 세라,
20177473,비밥바룰라,20180124,코미디,한국,이성재,20142433
20168161,1급기밀,20180124,드라마,한국,홍기선,"20126335,20154688"
20178444,극장판 레이디버그: 미라클스톤의 비밀,20180125,애니메이션,프랑스,토마스 아스트뤽,
20178395,12 솔져스,20180131,"액션,드라마,전쟁",미국,니콜라이 퓰시,
20178126,인시디어스4: 라스트 키,20180131,"공포(호러),미스터리,스릴러",미국,애덤 로비텔,
20168323,염력,20180131,"드라마,코미디",한국,연상호,20140808
20179228,마야2,20180201,애니메이션,독일,"노엘 클리어리,세르지오 델피노",
20178672,패딩턴 2,20180208,"코미디,드라마",프랑스,폴 킹,
20179205,조선명탐정: 흡혈괴마의 비밀,20180208,"사극,어드벤처,코미디",한국,김석윤,20100187
20170561,블랙 팬서,20180214,"액션,드라마,SF",미국,라이언 쿠글러,
20078561,명탐정 코난:감벽의 관,20180214,애니메이션,일본,야마모토 야스이치로,
20168250,골든슬럼버,20180214,"범죄,드라마",한국,노동석,20100450
20176121,흥부: 글로 세상을 바꾼 자,20180214,사극,한국,조근현,"20176364,20154588"
20180542,50가지 그림자: 해방,20180221,"드라마,멜로/로맨스,스릴러",미국,제임스 폴리,
20173436,셰이프 오브 워터: 사랑의 모양,20180222,"어드벤처,판타지",미국,기예르모 델 토로,
20177946,월요일이 사라졌다,20180222,"액션,어드벤처,범죄",영국,토미 위르콜라,
20189861,더 포스트,20180228,"드라마,스릴러",미국,스티븐 스필버그,
20189663,게이트,20180228,"범죄,코미디",한국,신재호,20186982
20170841,리틀 포레스트,20180228,드라마,한국,임순례,20061784
20179731,나미야 잡화점의 기적,20180228,"판타지,드라마",일본,히로키 류이치,
20150969,궁합,20180228,"코미디,드라마",한국,홍창표,20100128
20180341,레드 스패로,20180228,스릴러,미국,프란시스 로렌스,
20176070,플로리다 프로젝트,20180307,드라마,미국,션 베이커,
20178781,사라진 밤,20180307,스릴러,한국,이창희,"20100123,20124237,20062469"
20178490,온리 더 브레이브,20180307,드라마,미국,조셉 코신스키,
20180564,툼레이더,20180308,"액션,어드벤처",미국,로아 우타우,
20172244,치즈인더트랩,20180314,"멜로/로맨스,스릴러",한국,김제영,20174382
20170669,지금 만나러 갑니다,20180314,멜로/로맨스,한국,이장훈,"20139999,20140755,20173761"
20180302,허리케인 하이스트,20180314,"액션,범죄",미국,롭 코헨,
20178449,쓰리 빌보드,20180315,"코미디,범죄,드라마",미국,마틴 맥도나,
20174603,퍼시픽 림: 업라이징,20180321,"액션,어드벤처,SF",미국,스티븐 S. 드나이트,
20178522,콜 미 바이 유어 네임,20180322,"드라마,멜로/로맨스",이탈리아,루카 구아다니노,
20173962,소공녀,20180322,"멜로/로맨스,드라마",한국,전고운,"20126116,20176244"
20181366,미니특공대X,20180322,애니메이션,한국,이영준,20000384
20154908,7년의 밤,20180328,"스릴러,드라마",한국,추창민,"20101558,20110854"
20180804,곤지암,20180328,"공포(호러),스릴러",한국,정범식,2016841
20171122,레디 플레이어 원,20180328,"액션,SF,어드벤처",미국,스티븐 스필버그,
20178424,레이디 버드,20180404,"코미디,드라마",미국,그레타 거윅,
20181561,덕구,20180405,드라마,한국,방수인,"20158292,20156929"
20153447,바람 바람 바람,20180405,코미디,한국,이병헌,2016841
20182021,번개맨과 신비의 섬,20180405,"가족,뮤지컬",한국,김지열,"20174241,20101784"
20182352,"그날, 바다",20180412,다큐멘터리,한국,김지영,20173981
20165045,머니백,20180412,"액션,드라마",한국,허준형,20160643
20181788,콰이어트 플레이스,20180412,"공포(호러),스릴러,드라마",미국,존 크래신스키,
20176917,램페이지,20180412,액션,미국,브래드 페이튼,
20177266,나를 기억해,20180419,"미스터리,범죄,스릴러",한국,이한욱,20187263
20182701,크리미널 스쿼드,20180419,"범죄,액션",미국,크리스찬 구드가스트,
20182360,정글번치: 최강 악당의 등장,20180419,애니메이션,프랑스,다비드 알로,
20182561,당갈,20180425,"액션,드라마",인도,니테쉬 티와리,
20167007,살인소설,20180425,스릴러,한국,김진묵,"20101149,20160721"
20177478,어벤져스: 인피니티 워,20180425,"액션,어드벤처,판타지,SF",미국,"안소니 루소,조 루소",
20183195,레오나르도 다 빈치,20180426,애니메이션,이탈리아,세르지오 맨피오,
20189783,챔피언,20180501,드라마,한국,김용완,20169072
20182989,커다랗고 커다랗고 커다란 배,20180503,애니메이션,덴마크,"필립 립스키,요르겐 레르담",
20176067,"부르고뉴, 와인에서 찾은 인생",20180503,드라마,프랑스,세드릭 클래피쉬,
20182385,매직빈,20180503,애니메이션,중국,조이 주,
20182984,얼리맨,20180503,애니메이션,영국,닉 파크,
20176069,원더스트럭,20180503,드라마,미국,토드 헤인즈,
20177005,레슬러,20180509,"드라마,코미디",한국,김대웅,20138660
20137352,루비 스팍스,20180510,"코미디,판타지",미국,"조나단 데이턴,발레리 페리스",
20183084,피터 래빗,20180516,"애니메이션,가족",미국,윌 글럭,
20182046,"안녕, 나의 소녀",20180516,멜로/로맨스,대만,사준의,
20176848,데드풀 2,20180516,"액션,어드벤처,코미디,SF",미국,데이빗 레이치,
20183321,마징가 Z: 인피니티,20180517,"애니메이션,SF,액션",일본,시미즈 준지,
20173202,버닝,20180517,미스터리,한국,이창동,"20100787,20100248"
20183801,트루스 오어 데어,20180522,"공포(호러),스릴러",미국,제프 와드로,
20179383,독전,20180522,"범죄,액션",한국,이해영,"20137896,20217781"
20184513,위 베어 베어스: 베이비 베어스,20180524,"애니메이션,드라마,가족",미국,매니 에르난데스,
20180789,한 솔로: 스타워즈 스토리,20180524,"액션,SF",미국,론 하워드,
20180123,라스트 미션,20180530,드라마,미국,조 마지오,
20173865,데자뷰,20180530,"미스터리,스릴러",한국,고경민,"20153568,20130105"
20176053,"스탠바이, 웬디",20180530,드라마,미국,벤 루윈,
20184261,벅스 프렌즈,20180606,애니메이션,중국,딩 스,
20185081,아이 필 프리티,20180606,코미디,미국,아비 콘,
20179086,쥬라기 월드: 폴른 킹덤,20180606,"액션,어드벤처,SF",미국,후안 안토니오 바요나,
20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,20180606,애니메이션,일본,유야마 쿠니히코,
20184801,유전,20180607,공포(호러),미국,아리 에스터,
20184512,토니스토리2: 고철왕국의 친구들,20180613,"애니메이션,코미디,어드벤처",독일,"토마스 보덴스타인,마커스 하먼",
20178161,탐정: 리턴즈,20180613,"코미디,범죄",한국,이언희,20061727
20184903,오션스8,20180613,"액션,범죄",미국,게리 로스,
20184101,여중생A,20180620,드라마,한국,이경섭,"20122736,20188201"
20184689,아일라,20180621,"드라마,전쟁",터키,칸 울카이,
20184845,미드나잇 선,20180621,멜로/로맨스,미국,스콧 스피어,
20185341,마녀,20180627,"미스터리,액션",한국,박훈정,"20161022,20101149"
20185001,빅샤크: 매직체인지,20180627,애니메이션,중국,헤 질리,
20184721,시카리오: 데이 오브 솔다도,20180627,"액션,범죄,드라마",미국,스테파노 솔리마,
20172469,허스토리,20180627,드라마,한국,민규동,20100340
20174369,변산,20180704,드라마,한국,이준익,20188281
20180522,앤트맨과 와스프,20180704,"액션,어드벤처,SF",미국,페이튼 리드,
20182564,"오늘 밤, 로맨스 극장에서",20180711,"판타지,멜로/로맨스",일본,타케우치 히데키,
20181443,스카이스크래퍼,20180711,"액션,스릴러",미국,로슨 마샬 터버,
20180282,속닥속닥,20180713,"공포(호러),미스터리",한국,최상훈,"20188601,20203581"
20185621,호텔 아르테미스,20180718,"액션,범죄",미국,드류 피어스,
20183361,인크레더블 2,20180718,"애니메이션,액션,어드벤처,코미디,가족",미국,브래드 버드,
20188042,독전: 익스텐디드 컷,20180718,"범죄,액션",한국,이해영,20137896
20186001,신은 죽지 않았다 3: 어둠 속의 빛,20180719,드라마,미국,마이클 메이슨,
20170942,인랑,20180725,"SF,액션",한국,김지운,20156868
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,20180725,"애니메이션,판타지,어드벤처",한국,김병갑,"20110854,20156290"
20181181,미션 임파서블: 폴아웃,20180725,"액션,스릴러",미국,크리스토퍼 맥쿼리,20104469
20186121,어느 가족,20180726,드라마,일본,고레에다 히로카즈,
20186202,신과함께-인과 연,20180801,"판타지,드라마",한국,김용화,"20100540,20160941"
20186501,극장판 헬로카봇 : 백악기 시대,20180801,애니메이션,한국,"최신규,김진철",20141337
20179101,공작,20180808,드라마,한국,윤종빈,"20126515,20122737"
20181942,맘마미아!2,20180808,뮤지컬,미국,올 파커,
20187427,명탐정 코난 : 제로의 집행인,20180808,애니메이션,일본,타치카와 유즈루,
20184802,몬스터 호텔 3,20180808,"애니메이션,코미디,가족,판타지",미국,젠디 타타코브스키,
20170670,목격자,20180815,스릴러,한국,조규장,20062097
20183584,메가로돈,20180815,"액션,공포(호러),SF",미국,존 터틀타웁,
20187641,극장판 도라에몽: 진구의 보물섬,20180815,"애니메이션,SF,어드벤처",일본,이마이 카즈아키,
20187647,나를 차버린 스파이,20180822,"액션,코미디",미국,수잔나 포겔,
20153446,너의 결혼식,20180822,멜로/로맨스,한국,이석근,"20186561,20100374"
20187657,마일22,20180823,"액션,어드벤처,스릴러",미국,피터 버그,
20177537,상류사회,20180829,드라마,한국,변혁,2016841
20185046,서치,20180829,드라마,미국,아니쉬 차간티,
20189261,어드리프트:우리가 함께한 바다,20180906,"멜로/로맨스,드라마",미국,발타자르 코루마쿠르,
20189362,업그레이드,20180906,액션,미국,리 워넬,
20186646,딥,20180906,"멜로/로맨스,스릴러",한국,조성규,"20173902,20141039"
20189987,킬러의 보디가드 무삭제 특별판,20180912,"액션,코미디",미국,패트릭 휴즈,
20188581,더 프레데터,20180912,"SF,액션,스릴러",미국,쉐인 블랙,
20156554,물괴,20180912,"액션,사극",한국,허종호,20100947
20172204,명당,20180919,사극,한국,박희곤,20100128
20177308,협상,20180919,범죄,한국,이종석,"20100278,20188461,20110854"
20176122,안시성,20180919,"사극,액션",한국,김광식,"20141515,20161781,20140888"
20189262,더 넌,20180919,공포(호러),미국,코린 하디,
20189268,루이스,20180920,애니메이션,독일,"울프강 라우엔슈타인,크리스토프 라우엔슈타인",
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,20180920,애니메이션,한국,정미화,20154649
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20180920,애니메이션,일본,우시로 신지,
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,20180922,애니메이션,일본,닛타 노리오,
20181002,사라진 시간,20180923,공포(호러),미국,엠마누엘 산도발,
20167903,원더풀 고스트,20180926,"코미디,드라마,범죄",한국,조원희,20188142
20189462,셜록 놈즈,20181003,"애니메이션,코미디",미국,존 스티븐슨,
20177221,베놈,20181003,"액션,SF,스릴러",미국,루벤 플레셔,
