영화대표코드,제목,개봉일,해당일자 상영작 대비 해당영화 매출비율,누적 매출액,누적 관객수,상영시작일,상영종료일,상영연도,상영월,지역
20203702,노량: 죽음의 바다,2023-12-20,1.2,1146817026,126815,2024-01-29,2024-02-04,2024,"1, 2",강원도
20199950,조커,2019-10-02,1.2,1011251724,126266,2023-10-30,2023-11-05,2023,"10, 11",강원도
20170402,강철비,2017-12-14,0.2,948378700,125947,2018-01-15,2018-01-21,2018,1,강원도
20151229,더 킹,2017-01-18,1.2,970058200,125526,2017-02-13,2017-02-19,2017,2,강원도
20180939,남산의 부장들,2020-01-22,1.4,1021750080,124893,2020-02-17,2020-02-23,2020,2,강원도
20175222,킹스맨: 골든 서클,2017-09-27,3.7,929329600,123741,2017-10-16,2017-10-22,2017,10,강원도
20188750,나쁜 녀석들: 더 무비,2019-09-11,2.9,991029640,121410,2019-09-30,2019-10-06,2019,"9, 10",강원도
20175771,라이온 킹,2019-07-17,2.5,934948630,119000,2019-08-05,2019-08-11,2019,8,강원도
20180290,아쿠아맨,2018-12-19,3.4,972962430,118199,2019-01-14,2019-01-20,2019,1,강원도
20164721,미녀와 야수,2017-03-16,0.2,912094080,117014,2020-08-03,2020-08-09,2020,8,강원도
20175121,토르: 라그나로크,2017-10-25,1.8,827538800,111058,2017-11-27,2017-12-03,2017,"11, 12",강원도
20211792,헌트,2022-08-10,0.9,1006354950,107112,2022-09-19,2022-09-25,2022,9,강원도
20165450,남한산성,2017-10-03,1.3,816711400,106449,2017-10-23,2017-10-29,2017,10,강원도
20165748,꾼,2017-11-22,0.4,766442300,104540,2017-12-18,2017-12-24,2017,12,강원도
20177221,베놈,2018-10-03,0.8,797593550,97647,2018-10-29,2018-11-04,2018,"10, 11",강원도
20197922,다만 악에서 구하소서,2020-08-05,2.0,848155800,97323,2020-09-14,2020-09-20,2020,9,강원도
20177552,국가부도의 날,2018-11-28,5.0,746288150,96675,2018-12-17,2018-12-23,2018,12,강원도
20204264,콘크리트 유토피아,2023-08-09,3.9,880919989,95738,2023-09-18,2023-09-24,2023,9,강원도
20179189,암수살인,2018-10-03,2.6,784750450,95108,2018-10-29,2018-11-04,2018,"10, 11",강원도
20228555,더 퍼스트 슬램덩크,2023-01-04,0.7,943154643,93618,2024-01-08,2024-01-14,2024,1,강원도
20196478,영웅,2022-12-21,0.3,831439377,92834,2023-06-12,2023-06-18,2023,6,강원도
20176848,데드풀 2,2018-05-16,0.7,763330800,92211,2018-06-11,2018-06-17,2018,6,강원도
20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,0.6,908491078,91652,2023-06-19,2023-06-25,2023,6,강원도
20198414,시동,2019-12-18,3.5,728480620,90597,2020-01-13,2020-01-19,2020,1,강원도
20174142,아이 캔 스피크,2017-09-21,1.0,639895200,87722,2017-10-23,2017-10-29,2017,10,강원도
20176104,그것만이 내 세상,2018-01-17,2.5,670803200,87304,2018-02-12,2018-02-18,2018,2,강원도
20166488,미이라,2017-06-06,0.5,681806900,86901,2017-07-03,2017-07-09,2017,7,강원도
20191029,82년생 김지영,2019-10-23,0.6,671274180,86841,2019-11-25,2019-12-01,2019,"11, 12",강원도
20173403,슈퍼배드 3,2017-07-26,1.2,596016700,85516,2017-08-21,2017-08-27,2017,8,강원도
20196850,분노의 질주: 홉스&쇼,2019-08-14,0.5,696951500,85227,2019-09-09,2019-09-15,2019,9,강원도
20193450,반도,2020-07-15,2.4,715895270,83734,2020-08-17,2020-08-23,2020,8,강원도
20188941,악인전,2019-05-15,0.4,689983230,83620,2019-06-10,2019-06-16,2019,6,강원도
20232631,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,2.0,779888462,83581,2023-08-07,2023-08-13,2023,8,강원도
20204117,모가디슈,2021-07-28,0.1,757006640,83148,2022-05-16,2022-05-22,2022,5,강원도
20176103,돈,2019-03-20,6.4,670601050,82939,2019-04-15,2019-04-21,2019,4,강원도
20180804,곤지암,2018-03-28,0.3,634202800,82292,2018-04-23,2018-04-29,2018,4,강원도
20167542,분노의 질주: 더 익스트림,2017-04-12,0.9,634407700,81158,2017-05-08,2017-05-14,2017,5,강원도
20178161,탐정: 리턴즈,2018-06-13,1.9,659301300,80956,2018-07-09,2018-07-15,2018,7,강원도
20185341,마녀,2018-06-27,0.2,658210600,80843,2018-07-30,2018-08-05,2018,"7, 8",강원도
20227762,올빼미,2022-11-23,1.2,740560322,80801,2023-01-09,2023-01-15,2023,1,강원도
20184047,토이 스토리 4,2019-06-20,1.1,624726050,80403,2019-07-22,2019-07-28,2019,7,강원도
20224666,파일럿,2024-07-31,49.2,692045392,79669,2024-08-05,2024-08-11,2024,8,강원도
20179985,코코,2018-01-11,1.9,590412100,79592,2018-02-19,2018-02-25,2018,2,강원도
20162181,프리즌,2017-03-23,0.4,590173800,76371,2017-04-24,2017-04-30,2017,4,강원도
20224882,마녀(魔女) Part2. The Other One,2022-06-15,1.2,730442450,75925,2022-07-11,2022-07-17,2022,7,강원도
20161872,너의 이름은.,2017-01-04,1.5,600772588,75595,2024-01-22,2024-01-28,2024,1,강원도
20218256,이터널스,2021-11-03,2.3,715257220,75469,2021-12-06,2021-12-12,2021,12,강원도
20236180,웡카,2024-01-31,1.7,689064367,75339,2024-03-18,2024-03-24,2024,3,강원도
20153446,너의 결혼식,2018-08-22,0.9,595368050,75033,2018-09-17,2018-09-23,2018,9,강원도
20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,1.5,577918800,74794,2017-06-19,2017-06-25,2017,6,강원도
20195920,가장 보통의 연애,2019-10-02,1.0,593161670,73738,2019-11-04,2019-11-10,2019,11,강원도
20183361,인크레더블 2,2018-07-18,0.9,541870200,72163,2018-08-06,2018-08-12,2018,8,강원도
20212932,탈주,2024-07-03,1.8,621649000,71271,2024-08-05,2024-08-11,2024,8,강원도
20170670,목격자,2018-08-15,2.6,551067400,67891,2018-09-03,2018-09-09,2018,9,강원도
20184105,말모이,2019-01-09,0.4,531238920,67614,2019-02-04,2019-02-10,2019,2,강원도
20154909,살인자의 기억법,2017-09-06,4.2,502838400,66923,2017-09-25,2017-10-01,2017,"9, 10",강원도
20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,2.3,506971900,65703,2018-02-26,2018-03-04,2018,"2, 3",강원도
20226431,오펜하이머,2023-08-15,0.7,637610884,65184,2023-09-25,2023-10-01,2023,"9, 10",강원도
20174061,보스 베이비,2017-05-03,1.3,493401100,64701,2017-06-05,2017-06-11,2017,6,강원도
20191951,블랙 위도우,2021-07-07,0.5,609632540,64603,2021-08-16,2021-08-22,2021,8,강원도
20224662,토르: 러브 앤 썬더,2022-07-06,0.0,619459479,64489,2022-08-01,2022-08-07,2022,8,강원도
20170669,지금 만나러 갑니다,2018-03-14,1.9,491631400,64343,2018-04-09,2018-04-15,2018,4,강원도
20206061,쥬라기 월드: 도미니언,2022-06-01,0.5,616270950,64194,2022-06-27,2022-07-03,2022,"6, 7",강원도
20162722,보안관,2017-05-03,1.6,494457800,64112,2017-05-22,2017-05-28,2017,5,강원도
20196270,싱크홀,2021-08-11,1.6,573861890,63516,2021-09-13,2021-09-19,2021,9,강원도
20166967,트랜스포머: 최후의 기사,2017-06-21,1.0,493285700,63393,2017-07-10,2017-07-16,2017,7,강원도
20150964,조작된 도시,2017-02-09,2.6,465098000,61897,2017-02-27,2017-03-05,2017,"2, 3",강원도
20192101,히트맨,2020-01-22,2.3,496011780,61022,2020-02-10,2020-02-16,2020,2,강원도
20195002,블랙머니,2019-11-13,1.0,477989240,60767,2019-12-09,2019-12-15,2019,12,강원도
20164621,덩케르크,2017-07-20,0.5,470916000,60645,2017-08-07,2017-08-13,2017,8,강원도
20185046,서치,2018-08-29,0.9,497280750,60606,2018-09-24,2018-09-30,2018,9,강원도
20177539,사바하,2019-02-20,1.9,477367600,60575,2019-03-11,2019-03-17,2019,3,강원도
20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,1.4,488200900,60459,2017-05-22,2017-05-28,2017,5,강원도
20184572,타짜: 원 아이드 잭,2019-09-11,4.5,490432320,60345,2019-09-23,2019-09-29,2019,9,강원도
20185881,증인,2019-02-13,1.8,466951540,59934,2019-03-11,2019-03-17,2019,3,강원도
20166421,재심,2017-02-15,1.8,451773800,59823,2017-03-13,2017-03-19,2017,3,강원도
20205362,미니언즈2,2022-07-20,0.9,525197055,59697,2022-08-29,2022-09-04,2022,"8, 9",강원도
20176814,신비한 동물들과 그린델왈드의 범죄,2018-11-14,4.6,469491850,58818,2018-11-26,2018-12-02,2018,"11, 12",강원도
20217826,육사오(6/45),2022-08-24,1.0,529055822,58369,2022-09-26,2022-10-02,2022,"9, 10",강원도
20181434,신의 한 수: 귀수편,2019-11-07,1.0,466228980,58294,2019-11-25,2019-12-01,2019,"11, 12",강원도
20178982,박열,2017-06-28,3.6,418140500,57809,2017-07-17,2017-07-23,2017,7,강원도
20227890,슈퍼 마리오 브라더스,2023-04-26,0.5,520849753,57666,2023-06-05,2023-06-11,2023,6,강원도
20165443,모아나,2017-01-12,3.1,423867200,56775,2017-02-06,2017-02-12,2017,2,강원도
20200703,극장판 귀멸의 칼날: 무한열차편,2021-01-27,2.7,526155070,55435,2022-04-18,2022-04-24,2022,4,강원도
20175054,메이즈 러너: 데스 큐어,2018-01-17,2.7,432958200,55157,2018-02-05,2018-02-11,2018,2,강원도
20161081,애나벨 : 인형의 주인,2017-08-10,3.7,420867900,53903,2017-08-21,2017-08-27,2017,8,강원도
20180868,뺑반,2019-01-30,2.6,413950080,53265,2019-02-11,2019-02-17,2019,2,강원도
20196410,비상선언,2022-08-03,0.6,477445272,52980,2022-09-19,2022-09-25,2022,9,강원도
20172204,명당,2018-09-19,2.3,425637150,52973,2018-10-01,2018-10-07,2018,10,강원도
20177308,협상,2018-09-19,1.0,429363250,52939,2018-10-08,2018-10-14,2018,10,강원도
20176251,내안의 그놈,2019-01-09,0.6,433146410,52805,2019-01-28,2019-02-03,2019,"1, 2",강원도
20226254,블랙 팬서: 와칸다 포에버,2022-11-09,4.4,495385063,52635,2022-11-28,2022-12-04,2022,"11, 12",강원도
20184543,변신,2019-08-21,1.1,422761830,52604,2019-09-09,2019-09-15,2019,9,강원도
20192083,터미네이터: 다크 페이트,2019-10-30,0.7,407104560,52588,2019-11-18,2019-11-24,2019,11,강원도
20218052,베놈 2: 렛 데어 비 카니지,2021-10-13,2.4,483752980,52543,2021-11-08,2021-11-14,2021,11,강원도
20179901,혹성탈출: 종의 전쟁,2017-08-15,2.0,392359600,51577,2017-08-28,2017-09-03,2017,"8, 9",강원도
20175262,겟 아웃,2017-05-17,2.1,407852500,51150,2017-06-05,2017-06-11,2017,6,강원도
20185784,나의 특별한 형제,2019-05-01,0.9,373981570,48357,2019-05-27,2019-06-02,2019,"5, 6",강원도
20234664,그대들은 어떻게 살 것인가,2023-10-25,0.4,439006545,48350,2023-11-27,2023-12-03,2023,"11, 12",강원도
20184481,성난황소,2018-11-22,3.2,371598750,47809,2018-12-03,2018-12-09,2018,12,강원도
20161827,로건,2017-03-01,1.9,370193400,47054,2017-03-20,2017-03-26,2017,3,강원도
20228819,30일,2023-10-03,0.9,453710702,46963,2023-11-20,2023-11-26,2023,11,강원도
20184571,천문: 하늘에 묻는다,2019-12-26,0.3,362856560,46537,2020-01-20,2020-01-26,2020,1,강원도
20236614,쿵푸팬더4,2024-04-10,0.8,403107700,46500,2024-05-13,2024-05-19,2024,5,강원도
20190808,교섭,2023-01-18,1.1,430789372,46267,2023-02-13,2023-02-19,2023,2,강원도
20168773,마약왕,2018-12-19,9.7,374081350,46229,2018-12-24,2018-12-30,2018,12,강원도
20199816,담보,2020-09-29,1.8,376725830,45375,2020-11-23,2020-11-29,2020,11,강원도
20171122,레디 플레이어 원,2018-03-28,5.5,361024900,45221,2018-04-16,2018-04-22,2018,4,강원도
20181942,맘마미아!2,2018-08-08,2.0,370007700,45039,2018-09-03,2018-09-09,2018,9,강원도
20205041,분노의 질주: 더 얼티메이트,2021-05-19,1.9,416618450,44746,2021-06-21,2021-06-27,2021,6,강원도
20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,0.3,330936890,44734,2019-01-28,2019-02-03,2019,"1, 2",강원도
20193601,장사리 : 잊혀진 영웅들,2019-09-25,0.5,307609580,44578,2019-12-16,2019-12-22,2019,12,강원도
20193321,정직한 후보,2020-02-12,3.3,350919160,44573,2020-03-30,2020-04-05,2020,"3, 4",강원도
20168261,원더 우먼,2017-05-31,1.3,335623000,44531,2017-06-19,2017-06-25,2017,6,강원도
20227410,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,4.2,402501856,44516,2023-10-16,2023-10-22,2023,10,강원도
20170658,PMC: 더 벙커,2018-12-26,2.2,349786150,44322,2019-01-07,2019-01-13,2019,1,강원도
20248465,하이재킹,2024-06-21,0.8,383789231,44037,2024-07-22,2024-07-28,2024,7,강원도
20179230,도어락,2018-12-05,2.7,341931700,43886,2018-12-17,2018-12-23,2018,12,강원도
20171909,쥬만지: 새로운 세계,2018-01-03,3.3,332854700,43545,2018-01-15,2018-01-21,2018,1,강원도
20231089,존 윅 4,2023-04-12,0.4,422065039,43389,2023-05-22,2023-05-28,2023,5,강원도
20171962,킬러의 보디가드,2017-08-30,0.7,344231100,43179,2017-10-02,2017-10-08,2017,10,강원도
20206946,시민덕희,2024-01-24,0.5,386840924,43020,2024-03-18,2024-03-24,2024,3,강원도
20172603,부라더,2017-11-02,1.8,317782400,42884,2017-11-20,2017-11-26,2017,11,강원도
20208245,핸섬가이즈,2024-06-26,0.9,375603170,42724,2024-07-29,2024-08-04,2024,"7, 8",강원도
20174602,노무현입니다,2017-05-25,0.8,323202200,42619,2017-06-26,2017-07-02,2017,"6, 7",강원도
20161726,임금님의 사건수첩,2017-04-26,1.0,310422000,42590,2017-05-15,2017-05-21,2017,5,강원도
20188282,알리타: 배틀 엔젤,2019-02-05,0.8,372163980,42521,2019-02-25,2019-03-03,2019,"2, 3",강원도
20174981,창궐,2018-10-25,2.6,332722150,42101,2018-11-05,2018-11-11,2018,11,강원도
20247781,데드풀과 울버린,2024-07-24,7.4,392720839,41935,2024-08-05,2024-08-11,2024,8,강원도
20168183,콩: 스컬 아일랜드,2017-03-08,0.5,330859900,41822,2017-03-27,2017-04-02,2017,"3, 4",강원도
20168221,저스티스 리그,2017-11-15,1.3,305480600,41011,2017-12-04,2017-12-10,2017,12,강원도
20180442,사자,2019-07-31,0.8,303825860,40940,2019-08-12,2019-08-18,2019,8,강원도
20193069,#살아있다,2020-06-24,0.4,348529100,40845,2020-07-27,2020-08-02,2020,"7, 8",강원도
20170241,23 아이덴티티,2017-02-22,1.0,317445900,40345,2017-03-13,2017-03-19,2017,3,강원도
20184082,걸캅스,2019-05-09,1.4,326747850,40192,2019-05-27,2019-06-02,2019,"5, 6",강원도
20151003,장산범,2017-08-17,6.9,304853400,40128,2017-08-28,2017-09-03,2017,"8, 9",강원도
20186261,드래곤 길들이기 3,2019-01-30,1.3,305564840,40106,2019-02-25,2019-03-03,2019,"2, 3",강원도
20231592,분노의 질주: 라이드 오어 다이,2023-05-17,0.3,383037634,39626,2023-06-12,2023-06-18,2023,6,강원도
20196271,강철비2: 정상회담,2020-07-29,0.4,320445630,38857,2020-08-24,2020-08-30,2020,8,강원도
20192194,인질,2021-08-18,1.1,354214840,38799,2021-09-27,2021-10-03,2021,"9, 10",강원도
20208446,외계+인 1부,2022-07-20,0.5,355352594,38699,2022-08-15,2022-08-21,2022,8,강원도
20247440,슈퍼배드 4,2024-07-24,8.8,322727837,38416,2024-08-05,2024-08-11,2024,8,강원도
20207443,소울,2021-01-20,2.7,342914620,38298,2021-03-15,2021-03-21,2021,3,강원도
20186281,범블비,2018-12-25,1.9,300295700,38171,2019-01-07,2019-01-13,2019,1,강원도
20199581,닥터 두리틀,2020-01-08,0.7,297256420,38004,2020-01-27,2020-02-02,2020,"1, 2",강원도
20226500,달짝지근해: 7510,2023-08-15,0.6,338123793,37758,2023-10-23,2023-10-29,2023,10,강원도
20217742,샹치와 텐 링즈의 전설,2021-09-01,3.1,351967470,37143,2021-10-04,2021-10-10,2021,10,강원도
20175547,스윙키즈,2018-12-19,0.7,280041810,37000,2019-01-07,2019-01-13,2019,1,강원도
20168250,골든슬럼버,2018-02-14,1.6,281205200,36098,2018-02-26,2018-03-04,2018,"2, 3",강원도
20185352,어스,2019-03-27,6.3,289300670,35846,2019-04-08,2019-04-14,2019,4,강원도
20191589,말레피센트 2,2019-10-17,1.6,279651200,35700,2019-11-04,2019-11-10,2019,11,강원도
20150969,궁합,2018-02-28,3.6,263784700,35617,2018-03-12,2018-03-18,2018,3,강원도
20230209,앤트맨과 와스프: 퀀텀매니아,2023-02-15,2.3,341856121,35573,2023-03-06,2023-03-12,2023,3,강원도
20224667,잠,2023-09-06,3.2,318388582,35155,2023-09-25,2023-10-01,2023,"9, 10",강원도
20235253,외계+인 2부,2024-01-10,0.8,309569189,34984,2024-02-05,2024-02-11,2024,2,강원도
20196601,항거:유관순 이야기,2019-02-27,0.1,260865780,34845,2019-04-22,2019-04-28,2019,4,강원도
20182447,클로젯,2020-02-05,2.0,286126460,34783,2020-02-24,2020-03-01,2020,"2, 3",강원도
20170841,리틀 포레스트,2018-02-28,0.5,262388000,34638,2018-03-26,2018-04-01,2018,"3, 4",강원도
20183096,생일,2019-04-03,0.4,273740820,34542,2019-04-29,2019-05-05,2019,"4, 5",강원도
20174622,해피 데스데이,2017-11-08,2.0,266870500,34327,2017-11-27,2017-12-03,2017,"11, 12",강원도
20183002,해치지않아,2020-01-15,3.3,264853930,34170,2020-01-27,2020-02-02,2020,"1, 2",강원도
20164174,브이아이피,2017-08-23,1.4,247144200,33920,2017-09-04,2017-09-10,2017,9,강원도
20236295,듄: 파트2,2024-02-28,2.3,337668288,33681,2024-04-01,2024-04-07,2024,4,강원도
20201122,테넷,2020-08-26,1.1,300888000,33512,2020-10-26,2020-11-01,2020,"10, 11",강원도
20235834,위시,2024-01-03,3.1,292473593,33351,2024-01-29,2024-02-04,2024,"1, 2",강원도
20173581,기억의 밤,2017-11-29,5.4,236344000,33103,2017-12-11,2017-12-17,2017,12,강원도
20209654,헤어질 결심,2022-06-29,0.6,320569893,33060,2022-08-08,2022-08-14,2022,8,강원도
20176917,램페이지,2018-04-12,2.3,264083100,32968,2018-04-23,2018-04-29,2018,4,강원도
20189783,챔피언,2018-05-01,0.5,258531200,32615,2018-05-21,2018-05-27,2018,5,강원도
20178781,사라진 밤,2018-03-07,0.9,254259600,32349,2018-03-26,2018-04-01,2018,"3, 4",강원도
20162871,특별시민,2017-04-26,6.7,234334800,32333,2017-05-01,2017-05-07,2017,5,강원도
20187322,"힘을 내요, 미스터 리",2019-09-11,2.4,249556740,32317,2019-09-23,2019-09-29,2019,9,강원도
20216362,크루엘라,2021-05-26,0.6,300575890,31932,2021-07-26,2021-08-01,2021,"7, 8",강원도
20192193,도굴,2020-11-04,6.3,274191360,31918,2021-01-11,2021-01-17,2021,1,강원도
20197121,삼진그룹 영어토익반,2020-10-21,2.6,268096320,31875,2020-11-30,2020-12-06,2020,"11, 12",강원도
20201965,해적: 도깨비 깃발,2022-01-26,1.0,278529790,31602,2022-02-28,2022-03-06,2022,"2, 3",강원도
20189262,더 넌,2018-09-19,1.4,262006150,31455,2018-10-01,2018-10-07,2018,10,강원도
20190815,보이스,2021-09-15,0.4,288143770,31401,2021-11-01,2021-11-07,2021,11,강원도
20181416,유열의 음악앨범,2019-08-28,1.7,236914080,31056,2019-09-09,2019-09-15,2019,9,강원도
20184802,몬스터 호텔 3,2018-08-08,2.6,213970000,30891,2018-08-20,2018-08-26,2018,8,강원도
20150971,해빙,2017-03-01,2.2,240650500,30810,2017-03-13,2017-03-19,2017,3,강원도
20247074,건국전쟁,2024-02-01,1.7,274246751,30800,2024-03-11,2024-03-17,2024,3,강원도
20153447,바람 바람 바람,2018-04-05,1.0,243815500,30710,2018-04-23,2018-04-29,2018,4,강원도
20184483,퍼펙트맨,2019-10-02,1.3,235210390,30353,2019-10-21,2019-10-27,2019,10,강원도
20183844,마이펫의 이중생활 2,2019-07-31,1.0,205404790,29890,2019-08-19,2019-08-25,2019,8,강원도
20206257,브로커,2022-06-08,0.2,271232420,29855,2022-07-04,2022-07-10,2022,7,강원도
20236653,퓨리오사: 매드맥스 사가,2024-05-22,1.0,270988988,29803,2024-06-17,2024-06-23,2024,6,강원도
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,0.8,214999080,29695,2020-01-13,2020-01-19,2020,1,강원도
20182490,나랏말싸미,2019-07-24,3.3,221970260,29613,2019-07-29,2019-08-04,2019,"7, 8",강원도
20162343,악녀,2017-06-08,2.8,219767200,29357,2017-06-26,2017-07-02,2017,"6, 7",강원도
20179382,에이리언: 커버넌트,2017-05-09,1.4,224662100,29334,2017-05-22,2017-05-28,2017,5,강원도
20198317,인생은 아름다워,2022-09-28,1.2,246144693,29113,2022-11-21,2022-11-27,2022,11,강원도
20198482,드림,2023-04-26,0.3,254679381,28383,2023-06-19,2023-06-25,2023,6,강원도
20198681,쥬만지: 넥스트 레벨,2019-12-11,4.4,218047060,28368,2019-12-16,2019-12-22,2019,12,강원도
20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,1.1,260987049,28010,2024-01-29,2024-02-04,2024,"1, 2",강원도
20166384,하루,2017-06-15,0.5,215700500,27775,2017-07-03,2017-07-09,2017,7,강원도
20193879,비공식작전,2023-08-02,1.6,243087106,27684,2023-08-14,2023-08-20,2023,8,강원도
20196272,미드웨이,2019-12-31,0.1,216935100,27577,2020-06-22,2020-06-28,2020,6,강원도
20203557,그녀가 죽었다,2024-05-15,0.5,250613098,27434,2024-06-17,2024-06-23,2024,6,강원도
20198453,롱 리브 더 킹: 목포 영웅,2019-06-19,0.7,214310750,27345,2019-07-01,2019-07-07,2019,7,강원도
20173694,지오스톰,2017-10-19,2.0,206413500,26663,2017-10-30,2017-11-05,2017,"10, 11",강원도
20199883,오케이 마담,2020-08-12,0.6,228969810,26523,2020-09-07,2020-09-13,2020,9,강원도
20179696,그것,2017-09-06,3.7,204340400,26395,2017-09-18,2017-09-24,2017,9,강원도
20174603,퍼시픽 림: 업라이징,2018-03-21,0.6,199811300,26167,2018-04-02,2018-04-08,2018,4,강원도
20231041,댓글부대,2024-03-27,0.5,223881995,25931,2024-05-20,2024-05-26,2024,5,강원도
20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,0.4,271400906,25917,2023-11-27,2023-12-03,2023,"11, 12",강원도
20210087,듄,2021-10-20,2.6,260014360,25883,2022-02-07,2022-02-13,2022,2,강원도
